ratio = 2.5447561534933496, flow_size = 0.116821MB
ratio = 3.520094850124643, flow_size = 0.000915MB
ratio = 3.0749272694888083, flow_size = 0.005628MB
ratio = 2.2066390683638333, flow_size = 0.113002MB
ratio = 2.430051506719555, flow_size = 0.006186MB
ratio = 2.936873156342183, flow_size = 0.006914MB
ratio = 3.6280528655825566, flow_size = 0.000569MB
ratio = 3.1695704779189353, flow_size = 0.001906MB
ratio = 3.0839469808541975, flow_size = 0.015292MB
ratio = 3.1945092409833125, flow_size = 0.004134MB
ratio = 2.6853282992153855, flow_size = 0.006927MB
ratio = 3.5679034157832743, flow_size = 0.007251MB
ratio = 3.2023858982728943, flow_size = 0.005711MB
ratio = 2.3426390154968093, flow_size = 0.014066MB
ratio = 2.5784248441188935, flow_size = 0.001772MB
ratio = 3.3403169014084506, flow_size = 0.007992MB
ratio = 8.570790221318088, flow_size = 1.505025MB
ratio = 2.499406528189911, flow_size = 0.005718MB
ratio = 2.2372438119564557, flow_size = 0.000876MB
ratio = 2.132086297911407, flow_size = 0.012604MB
ratio = 5.001737631538708, flow_size = 0.662768MB
ratio = 2.54891965475294, flow_size = 0.010636MB
ratio = 2.7154926153285115, flow_size = 0.000998MB
ratio = 3.3565227948764647, flow_size = 0.001197MB
ratio = 3.2895895719570194, flow_size = 0.007888MB
ratio = 2.047809005741916, flow_size = 0.002054MB
ratio = 2.360994437507095, flow_size = 0.014892MB
ratio = 2.074196107145036, flow_size = 0.000194MB
ratio = 2.280710764174199, flow_size = 0.036999MB
ratio = 2.9523675310033823, flow_size = 0.058653MB
ratio = 3.0013197360527895, flow_size = 0.00356MB
ratio = 2.4157897938081625, flow_size = 0.000845MB
ratio = 3.340048975957257, flow_size = 0.019025MB
ratio = 3.0720919329813476, flow_size = 1.941838MB
ratio = 2.5136494252873565, flow_size = 0.00399MB
ratio = 2.4058121116120383, flow_size = 0.000513MB
ratio = 2.2054729327781084, flow_size = 0.005216MB
ratio = 2.481076791600537, flow_size = 0.000114MB
ratio = 2.4693877551020407, flow_size = 0.012804MB
ratio = 3.2388980263157894, flow_size = 0.007801MB
ratio = 2.0032708890871245, flow_size = 0.005283MB
ratio = 3.68269774810456, flow_size = 0.015536MB
ratio = 2.2151724701206064, flow_size = 0.680966MB
ratio = 2.3701092353525324, flow_size = 0.044972MB
ratio = 3.521245000593989, flow_size = 1.611974MB
ratio = 3.597433460076046, flow_size = 0.005487MB
ratio = 2.8795087802562884, flow_size = 0.005794MB
ratio = 2.997297456083661, flow_size = 0.007754MB
ratio = 2.3266174298375186, flow_size = 0.006602MB
ratio = 2.895488056620466, flow_size = 0.006977MB
ratio = 4.824280575539568, flow_size = 0.003689MB
ratio = 2.3750736246907764, flow_size = 0.007216MB
ratio = 2.5625762948322968, flow_size = 0.009933MB
ratio = 2.0432784145176695, flow_size = 0.004544MB
ratio = 4.014360313315927, flow_size = 0.864555MB
ratio = 2.3411152776097737, flow_size = 0.001957MB
ratio = 2.0230727955642998, flow_size = 0.004803MB
ratio = 2.1634694116270907, flow_size = 0.008678MB
ratio = 2.4335400705338683, flow_size = 0.000902MB
ratio = 2.312455303933254, flow_size = 0.004889MB
ratio = 2.3679595865753105, flow_size = 0.010128MB
ratio = 2.0054089789049825, flow_size = 0.003171MB
ratio = 2.9654660009510225, flow_size = 0.005392MB
ratio = 2.237616144877789, flow_size = 0.006259MB
ratio = 3.49806143751864, flow_size = 0.004702MB
