ratio = 2.41066881115132, flow_size = 0.167724MB
ratio = 4.451292438271605, flow_size = 0.024404MB
ratio = 14.784554223149113, flow_size = 0.815836MB
ratio = 4.7600051635282785, flow_size = 3.504254MB
ratio = 4.831146666666666, flow_size = 0.012564MB
ratio = 7.844373232676781, flow_size = 7.244386MB
ratio = 8.46448479496661, flow_size = 1.845784MB
ratio = 2.124142021862554, flow_size = 0.041502MB
ratio = 2.2584292123850562, flow_size = 1.024355MB
ratio = 2.4926737779861683, flow_size = 0.002495MB
ratio = 2.9373925763393673, flow_size = 0.226923MB
ratio = 3.653872891772624, flow_size = 2.26845MB
ratio = 3.6708577473958335, flow_size = 0.193893MB
ratio = 2.9330792037272344, flow_size = 0.351311MB
ratio = 4.512476559917016, flow_size = 9.352635MB
ratio = 9.860662312363928, flow_size = 0.004859MB
ratio = 14.795734173442888, flow_size = 1.301568MB
ratio = 6.231988372897779, flow_size = 3.17519MB
ratio = 8.625819044085622, flow_size = 3.597862MB
ratio = 4.934837523525636, flow_size = 5.382684MB
ratio = 2.494134897360704, flow_size = 0.056099MB
ratio = 2.0384834663626, flow_size = 0.026254MB
ratio = 2.6548972754388456, flow_size = 7.088292MB
ratio = 9.807031170603523, flow_size = 1.543872MB
ratio = 4.951927489674162, flow_size = 0.004717MB
ratio = 2.6680511994574894, flow_size = 0.041455MB
ratio = 2.4407870365470306, flow_size = 1.027672MB
ratio = 5.043073122589473, flow_size = 3.840662MB
ratio = 2.852908344639269, flow_size = 0.595259MB
ratio = 6.0330720938820726, flow_size = 0.191427MB
ratio = 3.5038828900156664, flow_size = 0.608817MB
ratio = 11.561511506771474, flow_size = 0.026694MB
ratio = 2.027859464479183, flow_size = 0.054895MB
ratio = 4.967037203772322, flow_size = 5.067175MB
ratio = 2.2152735496216405, flow_size = 0.037891MB
ratio = 3.7137399311028996, flow_size = 3.615927MB
ratio = 5.562657889060215, flow_size = 7.365379MB
ratio = 2.5832177531206657, flow_size = 0.019143MB
ratio = 8.384985932763064, flow_size = 7.663172MB
ratio = 2.73125, flow_size = 0.038139MB
ratio = 7.436232262557674, flow_size = 0.037769MB
ratio = 7.430232618936823, flow_size = 2.18198MB
ratio = 2.618570474281897, flow_size = 0.007895MB
ratio = 3.31871848116286, flow_size = 0.101795MB
ratio = 4.364229620617189, flow_size = 0.008589MB
ratio = 5.352775486239623, flow_size = 1.505632MB
ratio = 2.8086524300441824, flow_size = 0.274308MB
ratio = 2.444134823466635, flow_size = 0.705442MB
ratio = 3.9849367628250674, flow_size = 0.068615MB
ratio = 2.09428627272135, flow_size = 0.865746MB
ratio = 3.415326633165829, flow_size = 0.04314MB
ratio = 6.177705488038466, flow_size = 9.272494MB
ratio = 7.130006022282445, flow_size = 0.059176MB
ratio = 7.307377049180328, flow_size = 0.002607MB
ratio = 3.5397269471799464, flow_size = 0.007324MB
ratio = 2.191553501518683, flow_size = 1.993812MB
ratio = 6.145565993198842, flow_size = 4.625319MB
ratio = 7.918425083340842, flow_size = 4.534142MB
ratio = 2.133938706015891, flow_size = 0.026861MB
ratio = 4.122618217247373, flow_size = 12.828358MB
ratio = 3.618523914712287, flow_size = 4.468822MB
ratio = 2.2180839655773306, flow_size = 1.680362MB
ratio = 4.995340827303875, flow_size = 5.850166MB
ratio = 6.243691507429489, flow_size = 6.614636MB
ratio = 3.978321630649669, flow_size = 0.075717MB
ratio = 3.6044453882636085, flow_size = 0.069237MB
ratio = 6.068182996035345, flow_size = 5.424251MB
ratio = 4.251274328081557, flow_size = 0.003708MB
ratio = 5.395869846077743, flow_size = 16.730881MB
ratio = 2.5538852707645643, flow_size = 1.019945MB
ratio = 10.200519603212092, flow_size = 0.001762MB
ratio = 8.564527475963418, flow_size = 0.053328MB
ratio = 14.636222063218149, flow_size = 1.034282MB
ratio = 3.459841497891273, flow_size = 0.158091MB
